Code,Description (English),বর্ণনা,
1,Revenue,রাজস্ব,
11,Taxes,করসমূহ,
111,"Taxes on income, profits and capital gains","আয়, মুনাফা, ও মূলধনের ওপর কর",
1111,Payable by individuals,ব্যক্তি কর্তৃক দেয়,
11111,Payable by individuals,ব্যক্তি কর্তৃক দেয়,
1111101,Income tax payable by individuals,ব্যক্তি কর্তৃক দেয় আয়কর,
1111102,Advance income tax payable by individuals,ব্যক্তি কর্তৃক দেয় অগ্রিম আয়কর,
1112,Payable by corporations and other enterprises,কর্পোরেশন ও অন্যান্য ব্যবসা প্রতিষ্ঠান কর্তৃক দেয়,
11121,Payable by corporations and other enterprises,কর্পোরেশন ও অন্যান্য ব্যবসা প্রতিষ্ঠান কর্তৃক দেয়,
1112101,Income tax payable by companies,কোম্পানিসমূহ কর্তৃক দেয় আয়কর,
1112102,Advance income tax payable by companies,কোম্পানিসমূহ কর্তৃক দেয় অগ্রিম আয়কর,
1113,"Other taxes on income, profits, and capital gains","আয়, মুনাফা, ও মূলধন বৃদ্ধির ওপর অন্যান্য আয়কর",
11131,Payable by general government,সাধারণ সরকার কর্তৃক দেয়,
11132,"Unallocable taxes on income, profits, and capital gains","আয়, মুনাফা, ও মূলধনি মুনাফার উপর অবণ্টনযোগ্য কর",
112,Taxes on payroll and workforce,বেতন ও কর্মীবাহিনীর ওপর কর,
113,Taxes on property,সম্পত্তির ওপর কর,
1131,Recurrent taxes on immovable property,অস্থাবর সম্পত্তির ওপর আবর্তক কর,
11311,Taxes on immovable property,অস্থাবর সম্পত্তির কর,
1131101,Land development tax,ভূমি উন্নয়ন কর,
11312,Holding Tax,হোল্ডিং  ট্যাক্স      ,
1131201,Tax on annual value of building and land,ইমারত ও জমির উপর কর,
1132,Recurrent taxes on net wealth,নিট সম্পদের ওপর আবর্তক কর,
11321,Recurrent taxes on net wealth,নিট সম্পদের ওপর আবর্তক কর,
1132101,Recurrent taxes on net wealth,নিট সম্পদের ওপর আবর্তক কর,
1133,"Estate, inheritance, and gift taxes","স্থাবর সম্পত্তি, উত্তরাধিকার ও দান কর",
11331,"Estate, inheritance, and gift taxes","স্থাবর সম্পত্তি, উত্তরাধিকার ও দান কর",
1133101,Gift tax,দান কর,
1134,Capital levies,মূলধন কর,
1135,Other recurrent taxes on property,সম্পত্তির ওপর অন্যান্য আবর্তক কর,
114,Taxes on goods and services,পণ্য ও সেবার ওপর কর,
1141,General taxes on goods and services,সাধারণ পণ্য ও সেবা কর,
11411,Value-added taxes (VAT),মূল্য সংযোজন কর (মূসক),
1141101,VAT on domestic products and services,দেশজ পণ্য ও সেবার ওপর মূসক,
1141102,Supplementary duty on domestically produced commodities,দেশজ উৎপাদিত পণ্যের ওপর সম্পূরক শুল্ক,
1141103,Supplementary duty on domestic services,দেশজ সেবার ওপর সম্পূরক শুল্ক,
1141104,VAT on imported commodities,আমদানি পণ্যের ওপর মূসক,
1141105,Supplementary duty on imported commodities,আমদানি পণ্যের ওপর সম্পূরক শুল্ক,
11412,Sales taxes,বিক্রয় কর,
11413,Turnover and other general taxes on goods and services,পণ্য ও সেবার ওপর টার্নওভার ও অন্যান্য সাধারণ কর,
1141301,Turnover tax,টার্নওভার ট্যাক্স,
11414,Taxes on financial and capital transactions,আর্থিক ও মূলধন লেনদেনের ওপর কর,
1141401,Tax on property transfer,সম্পত্তি হস্তান্তর কর,
1142,Excise,আবগারি,
11421,Excise,আবগারি,
1142101,Narcotics and liquor duty,মাদক ও মদ শুল্ক,
1142199,Excise duty,আবগারি শুল্ক,
1143,Profits of fiscal monopolies,একচেটিয়া আর্থিক মুনাফা,
1144,Taxes on specific services,বিশেষ সেবা কর,
11441,Taxes on specific services,বিশেষ সেবা কর,
1144101,Advertising tax,বিজ্ঞাপন কর,
1144102,Travel tax,ভ্রমণ কর,
11442,Rates on Specific services,বিশেষ সেবার ওপর রেইট,
1144201,Conservancy rate,ময়লা নিষ্কাশন রেইট,
1144202,Street light rate,সড়ক বাতি রেইট,
1144203,Health rate,স্বাস্থ্য কর,
1144204,Water  rate,পানি রেইট,
1145,Taxes on use of goods and on permission to use goods or perform activities,পণ্য ব্যবহার ও পণ্য ব্যবহারের অনুমতি কিংবা কর্ম সম্পাদনের ওপর কর,
11451,Motor vehicle taxes,মোটরযান কর,
1145101,Motor vehicle tax,মোটরযান কর,
1145102,Road tax,সড়ক কর,
11452,Business and professional licenses,ব্যবসা-প্রতিষ্ঠান ও পেশাদার লাইসেন্স,
1145201,Real estate licenses,রিয়েল এস্টেট লাইসেন্স,
1145202,Stockbroker licenses,স্টকব্রোকার লাইসেন্স,
1145203,Pollution taxes,দূষণ কর,
1145204,Trade Licenses,   েট্রড  লাইসেন্স,
1145299,Other business and professional licenses,অন্যান্য ব্যবসা-প্রতিষ্ঠান ও পেশাদার লাইসেন্স,cc
11453,Licenses and permits for households,গৃহস্হালির জন্য লাইসেন্স ও পারমিট,
1145301,Radio and television licenses,রেডিও ও টেলিভিশন লাইসেন্স,
1145399,Other licenses and permits for households,গৃহস্হালির জন্য অন্যান্য লাইসেন্স ও পারমিট,
1145302,Tax on Rickshaw License,রিকশা লাইসেন্স ফি,
11454,Other taxes on use of goods and on permission to use goods or perform activities not elsewhere classified,পণ্য ব্যবহার ও পণ্য ব্যবহারের অনুমতি কিংবা কর্ম সম্পাদনের ওপর অন্যান্য কর যা অন্যত্র শেণিবদ্ধ নয়,
1146,Other taxes on goods and services,পণ্য ও সেবার ওপর অন্যান্য কর,
115,Taxes on international trade and transactions,আন্তর্জাতিক বাণিজ্য ও লেনদেনের ওপর কর,
1151,Customs and other import duties,কাস্টমস ও অন্যান্য আমদানি শুল্ক,
11511,Customs,কাস্টমস,
1151101,Customs duty,কাস্টমস শুল্ক,
1151102,Supplementary duty,সম্পূরক শুল্ক,
1152,Taxes on exports,রপ্তানি কর,
11521,Taxes on exports,রপ্তানি কর,
1152101,Export duty,রপ্তানি শুল্ক,
1153,Profits of export or import monopolies,একচেটিয়া আমদানি বা রপ্তানি মুনাফা,
1154,Exchange profits,মুনাফা বিনিময়,
1155,Exchange taxes,বিনিময় কর,
1156,Other taxes on international trade and transactions,অন্যান্য আন্তর্জাতিক বাণিজ্য ও লেনদেনের ওপর কর,
11561,Other taxes on international trade and transactions,অন্যান্য আন্তর্জাতিক বাণিজ্য ও লেনদেনের ওপর কর,
1156101,Embarkation fee,আরোহণ ফি,
116,Other taxes,অন্যান্য করসমূহ,
1161,Payable solely by business,ব্যবসা প্রতিষ্ঠান কর্তৃক এককভাবে দেয় কর,
1162,Payable by other than business or unidentifiable,ব্যবসা প্রতিষ্ঠান ব্যতীত বা অন্য কর্তৃক দেয় কর,
11621,Stamp duty,স্ট্যাম্প ডিউটি,
1162101,Stamp duty,স্ট্যাম্প ডিউটি,
1162102,Duty on impressing documents,ছাপযুক্ত দলিলের ওপর শুল্ক,
11622,Surcharge,সারচার্জ,
1162201,Development surcharge,উন্নয়ন সারর্চাজ,
1162202,IT development surcharge,তথ্য প্রযুক্তি উন্নয়ন সারর্চাজ,
1162203,Health development surcharge,স্বাস্থ্য  উন্নয়ন সারর্চাজ,
1162204,Environment safety surcharge,পরিবেশ সংরক্ষণ সারর্চাজ,
11623,Other taxes,অন্যান্য করসমূহ,
1162301,Tax on building construction and reconstruction,ইমারত নির্মাণ এবং পুনঃনির্মাণ কর ,
1162302,Tax on animal (Pet animal),পশুর ওপর কর,
1162303,Tax on fare,মেলা ও প্রদর্শনীর ওপর ফিস,
